State,Adult.Obesity*100,Average.Income,percent_democrat, All fast food restaurants,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Hawaii,22.3,32008.617585,65.0425672648132,97.5,3.675,3.075,2.3,2.45,2.55,7.825,29.35,32.625,30.2
Idaho,27.425,25081.4456675,34.124564511718056,65.5,4.386363636363637,4.175,3.595454545454545,3.270454545454545,3.2590909090909093,11.95,31.068181818181817,35.36363636363637,21.62954545454545
Illinois,27.425,32332.7038925,57.92343070096754,82.5,6.126470588235294,6.076470588235294,5.087254901960784,4.91078431372549,4.270588235294118,10.244117647058824,34.51176470588235,33.732352941176465,21.51078431372549
Indiana,31.45,26852.7984225,41.78261816333369,73.7,4.810869565217391,4.405434782608696,3.506521739130435,3.381521739130435,3.2163043478260867,11.825,39.05543478260869,29.242391304347827,19.870652173913044
Iowa,30.35,29685.7850975,45.81564177573857,67.7,3.705050505050506,3.585858585858586,3.071717171717172,2.593939393939394,2.726262626262626,8.356565656565657,35.59292929292929,34.10505050505051,21.95151515151515
Kansas,30.425,29086.1048925,42.25142556660476,74.7,3.896190476190476,3.8276190476190473,3.355238095238095,2.997142857142857,2.956190476190476,10.083809523809524,31.302857142857142,35.36666666666667,23.250476190476192
Kentucky,32.45,25444.0471925,36.68463939676491,74.2,6.4325,6.390833333333333,5.8758333333333335,5.0425,4.895,17.90583333333333,38.270833333333336,27.27583333333333,16.545833333333334
Louisiana,34.225,25525.546435,40.52894193613174,76.2,7.426315789473684,7.166666666666667,6.005263157894737,5.624561403508772,5.492982456140351,17.9328125,39.153125,25.65,17.2625
Maine,27.95,29217.401715,55.18523441705349,74.9,4.875,4.20625,3.7375,3.41875,3.03125,8.05625,34.41875,29.5375,27.98125
Maryland,28.45,38194.8399575,64.85334507796108,89.7,5.558333333333334,4.8,4.545833333333333,4.233333333333333,3.8791666666666655,10.016666666666667,30.258333333333336,27.09166666666667,32.6375
Massachusetts,23.875,39346.48369,66.78335600756544,77.5,5.171428571428572,4.335714285714286,4.121428571428572,3.792857142857143,3.3857142857142857,8.342857142857143,24.942857142857143,24.87857142857143,41.85714285714285
Michigan,31.5,28485.6367975,51.3588955437429,73.9,6.509638554216867,6.065060240963855,5.849397590361446,5.143373493975903,4.867469879518072,9.355421686746988,34.790361445783134,33.51807228915663,22.33855421686747
Minnesota,26.3,34271.83043,53.62575023379451,67.0,4.456321839080459,4.620689655172414,4.095402298850575,3.675862068965517,3.860919540229885,7.817241379310345,32.44252873563219,35.78850574712644,23.960919540229884
Mississippi,35.35,22082.734615,39.5477447821638,77.3,7.715853658536586,7.023170731707316,6.163414634146341,5.763414634146342,6.504878048780488,18.93780487804878,33.28658536585366,30.2719512195122,17.509756097560974
Missouri,30.85,28002.6179975,42.06354014402144,72.9,5.547826086956522,5.063478260869565,4.1286956521739135,3.4808695652173918,3.654782608695652,13.36782608695652,39.3704347826087,28.44608695652174,18.817391304347822
Montana,24.65,28092.4435725,41.62657115480198,69.8,4.435714285714286,4.5125,4.2785714285714285,3.930357142857143,3.680357142857143,8.091071428571428,33.176785714285714,33.80535714285714,24.93035714285714
Nebraska,29.45,29291.9198475,40.07251435747248,71.9,2.875268817204301,2.98494623655914,2.882795698924732,2.774193548387097,2.963440860215054,8.234408602150538,31.80860215053763,37.2258064516129,22.7247311827957
Nevada,25.475,27784.2841825,51.324648909887706,84.8,6.917647058823529,5.770588235294118,4.688235294117647,4.135294117647058,3.676470588235294,11.929411764705884,33.63529411764706,36.1,18.33529411764706
New Hampshire,27.3,36410.2158475,53.62118618672003,79.8,3.3600000000000003,2.8,2.75,2.58,2.59,7.42,29.880000000000003,28.92,33.78
New Jersey,24.8,38339.4978325,59.249226680546975,81.2,6.133333333333334,5.29047619047619,4.852380952380952,4.295238095238095,3.695238095238095,9.971428571428572,28.580952380952382,24.07619047619048,37.385714285714286
New Mexico,23.65,24486.38665,55.40090461898543,73.4,7.290909090909091,7.1909090909090905,6.46060606060606,5.33030303030303,5.4393939393939394,15.596875,31.225,31.8625,21.315625
New York,24.35,35070.7304,56.48107603359185,92.3,5.574193548387097,5.190322580645161,5.164516129032258,4.479032258064516,4.166129032258064,10.862903225806452,31.743548387096773,29.030645161290323,28.37258064516129
North Carolina,29.2,27604.631645,49.30074683320576,76.9,6.335,5.656000000000001,4.964,4.422,4.145,14.861,30.533,32.318000000000005,22.281
North Dakota,30.1,33147.9221975,32.80060861034924,65.6,3.313207547169811,3.4924528301886792,2.994339622641509,2.7584905660377355,2.720754716981132,9.333962264150944,30.78490566037736,36.8622641509434,23.0377358490566
Ohio,30.55,28559.3133175,45.94796084553157,82.8,5.390909090909091,5.532954545454545,5.239772727272728,4.7875000000000005,4.525,10.986363636363636,39.86818181818182,28.58636363636364,20.5625
Oklahoma,32.35,25927.07157,33.059960503093485,76.0,4.787012987012988,5.111688311688312,4.194805194805195,3.312987012987013,3.2532467532467533,13.892207792207794,36.48311688311688,30.15714285714285,19.45844155844156
Oregon,26.3,29882.45029,58.30833199186985,73.4,6.269444444444444,5.425000000000001,4.730555555555556,4.611111111111111,4.313888888888889,10.73611111111111,28.291666666666668,36.766666666666666,24.211111111111112
Pennsylvania,28.925,30931.4078375,50.341960798877935,75.5,5.759701492537313,5.844776119402986,5.32089552238806,4.676119402985075,4.8014925373134325,10.108955223880596,41.8820895522388,24.4089552238806,23.607462686567164
Rhode Island,26.425,32651.392555,60.33699919235916,81.3,5.66,4.86,4.14,3.76,3.34,8.44,24.66,25.8,41.1
South Carolina,31.65,26274.1190475,44.07580510141303,73.5,6.971739130434782,5.734782608695652,4.880434782608695,3.917391304347826,3.223913043478261,15.873913043478264,34.028260869565216,29.31086956521739,20.784782608695654
South Dakota,29.775,28344.9719275,36.56006200450456,63.9,3.5484848484848484,3.490909090909091,3.6,3.3621212121212123,3.4863636363636363,10.03939393939394,34.631818181818176,32.025757575757574,23.30757575757576
Tennessee,32.025,26769.406805,38.11659147819367,77.8,6.523157894736842,5.583157894736842,4.34,4.033684210526316,3.9642105263157896,16.396842105263158,39.694736842105264,26.370526315789476,17.530526315789476
Texas,28.5,28404.04718,47.04190376680916,75.8,4.781102362204725,5.12992125984252,4.519291338582677,3.8751968503937007,3.512992125984252,19.15354330708661,31.90275590551181,29.886614173228345,19.055511811023624
Utah,25.0,26394.878885,39.18704485336032,76.2,4.748275862068965,4.686206896551725,4.124137931034483,3.7,3.262068965517241,8.144827586206896,28.379310344827587,37.241379310344826,26.24137931034483
Vermont,24.375,31803.20968,67.15618184075043,68.3,3.985714285714285,3.5142857142857147,3.442857142857143,2.957142857142857,2.628571428571429,8.157142857142857,31.75714285714286,26.24285714285714,33.85
Virginia,27.65,35643.9405325,54.94849735930412,80.1,5.06390977443609,4.620300751879699,4.177443609022556,3.354887218045113,3.060902255639098,13.305384615384616,31.20076923076923,28.634615384615383,26.859230769230766
Washington,27.3,34386.7851425,60.33091207867589,66.8,6.687179487179487,6.48974358974359,5.712820512820513,5.535897435897436,5.641025641025641,10.935897435897436,26.128205128205128,35.97692307692307,26.971794871794877
West Virginia,33.75,23930.963145,30.11247072963508,73.8,7.549090909090909,7.098181818181818,5.994545454545454,5.818181818181818,5.774545454545455,14.885454545454548,44.03272727272728,24.35090909090909,16.741818181818182
Wisconsin,29.425,30141.634455,50.31690128892837,65.0,4.936111111111111,4.313888888888889,3.563888888888889,3.3152777777777778,3.6652777777777774,8.120833333333334,35.38333333333333,32.88055555555556,23.623611111111117
Wyoming,26.5,30342.16304,27.51790002959921,62.5,4.104347826086957,5.1,4.1173913043478265,3.891304347826087,3.665217391304348,7.156521739130435,30.578260869565216,36.34782608695652,25.90869565217391
